Month,Participant,Tape A Shares,Tape B Shares,Tape C Shares,Total Shares,Tape A Notional,Tape B Notional,Tape C Notional,Total Notional,Tape A Trade Count,Tape B Trade Count,Tape C Trade Count,Total,,,,,,,,,,,
2018-01,BYX Equities (Y),3906877720,1508300701,1776552056,7191730477,1.26E+11,74235468612,73991216445,2.74E+11,31927088,7062677,15765946,54755711,,,,,,,,,,,
2018-01,BZX Equities (Z),4085707712,2038399495,2144526920,8268634127,1.65E+11,1.43E+11,1.19E+11,4.27E+11,32957668,9084935,17973315,60015918,,,,,,,,,,,
2018-01,CHX (M),289198896,331914945,178861089,799974930,18528095397,32834995073,18150192988,69513283458,59879,87921,40914,188714,,,,,,,,,,,
2018-01,EDGA Equities (J),1000159298,542273100,520602886,2063035284,37399082629,34893625109,26543783002,98836490739,8401091,2531592,4336238,15268921,,,,,,,,,,,
2018-01,EDGX Equities (K),4239663281,1726415017,3666994001,9633072299,1.80E+11,99626628138,1.74E+11,4.54E+11,28478945,6884787,21944825,57308557,,,,,,,,,,,
2018-01,FINRA / NYSE TRF (DN),2027260012,853924868,1860796064,4741980944,80371054092,28443731513,73471920550,1.82E+11,4983313,2195997,5285248,12464558,,,,,,,,,,,
2018-01,FINRA / Nasdaq TRF Carteret (DQ),26672555652,10819601699,17331749050,54823906401,1.07E+12,6.85E+11,8.27E+11,2.59E+12,87633371,22172049,54454396,164259816,,,,,,,,,,,
2018-01,IEX (V),2034823791,406554850,998155534,3439534175,96113595567,26959121700,61232134063,1.84E+11,12552275,1621827,6392975,20567077,,,,,,,,,,,
2018-01,NASDAQ (Q),6901455484,2738107974,11159538415,20799101873,3.31E+11,1.88E+11,6.67E+11,1.19E+12,59158959,11231068,67122069,137512096,,,,,,,,,,,
2018-01,NASDAQ BX (B),2782017594,775434808,1525568563,5083020965,1.19E+11,43322267766,72262787197,2.34E+11,27777777,3793390,15621267,47192434,,,,,,,,,,,
2018-01,NASDAQ PSX (X),362861317,373475775,360377971,1096715063,15640989326,28384555658,23180190819,67205735803,2996459,1517068,3035084,7548611,,,,,,,,,,,
2018-01,NYSE (N),18487690597,0,0,18487690597,7.97E+11,0,0,7.97E+11,54061628,0,0,54061628,,,,,,,,,,,
2018-01,NYSE American (A),101650287,363313184,69307805,534271276,4353270222,4476602742,3938774284,12768647249,963845,1017689,662454,2643988,,,,,,,,,,,
2018-01,NYSE Arca (P),4426890146,6096694272,3101111965,13624696383,2.06E+11,3.76E+11,1.67E+11,7.49E+11,32740451,16316563,22510005,71567019,,,,,,,,,,,
2018-02,BYX Equities (Y),4001812965,1796984387,1766310725,7565108077,1.23E+11,88524524883,77484675188,2.89E+11,33350127,8981564,16202017,58533708,,,,,,,,,,,
2018-02,BZX Equities (Z),5072910854,3385769452,2696806894,11155487200,2.14E+11,2.40E+11,1.67E+11,6.22E+11,43352499,16659625,23406506,83418630,,,,,,,,,,,
2018-02,CHX (M),225513949,390202141,191006689,806722779,12784753511,45326889518,22206945174,80318588204,62960,166431,53275,282666,,,,,,,,,,,
2018-02,EDGA Equities (J),1025463938,705357824,535137141,2265958903,38397349746,47425799690,31329742262,1.17E+11,8770132,3459390,4595883,16825405,,,,,,,,,,,
2018-02,EDGX Equities (K),4746932819,2440151753,3688826335,10875910907,2.02E+11,1.57E+11,2.07E+11,5.66E+11,33858778,10479765,24535346,68873889,,,,,,,,,,,
2018-02,FINRA / NYSE TRF (DN),1969962248,920675233,1691069400,4581706881,75622408913,38633067571,78189675400,1.92E+11,5143265,2323932,5008254,12475451,,,,,,,,,,,
2018-02,FINRA / Nasdaq TRF Carteret (DQ),24845030963,10943864577,15283797708,51072693248,9.81E+11,7.19E+11,8.23E+11,2.52E+12,86723783,24583058,52002465,163309306,,,,,,,,,,,
2018-02,IEX (V),2108957376,544398799,1017972474,3671328649,96849475609,40343454845,65380219408,2.03E+11,14123752,2497659,7022721,23644132,,,,,,,,,,,
2018-02,NASDAQ (Q),8501699919,4183720695,11914574575,24599995189,4.07E+11,3.01E+11,7.70E+11,1.48E+12,77006173,18779775,79345472,175131420,,,,,,,,,,,
2018-02,NASDAQ BX (B),2819677752,870816404,1536912342,5227406498,1.14E+11,49594597055,76844905061,2.40E+11,28175934,4595756,15753424,48525114,,,,,,,,,,,
2018-02,NASDAQ PSX (X),451721965,613157222,455855118,1520734305,21413029211,43361934128,35149197707,99924161046,3712542,2365394,3620748,9698684,,,,,,,,,,,
2018-02,NYSE (N),19039004930,0,0,19039004930,8.06E+11,0,0,8.06E+11,63339040,0,0,63339040,,,,,,,,,,,
2018-02,NYSE American (A),129944643,345615023,78149154,553708820,5368056973,7107743500,4497440822,16973241296,1234719,1130596,744628,3109943,,,,,,,,,,,
2018-02,NYSE Arca (P),4995441842,8178731183,3206799200,16380972225,2.31E+11,5.24E+11,1.94E+11,9.49E+11,38659310,25223237,24578067,88460614,,,,,,,,,,,
2018-03,BYX Equities (Y),4071243639,1781053603,1955171101,7807468343,1.25E+11,80908068233,80908737719,2.87E+11,35298506,8860787,17854842,62014135,,,,,,,,,,,
2018-03,BZX Equities (Z),4850195555,2697838930,2957999632,10506034117,2.16E+11,1.86E+11,1.89E+11,5.90E+11,42579204,12569548,25788649,80937401,,,,,,,,,,,
2018-03,CHX (M),226062423,328492264,223742862,778297549,12401432322,42709616160,25067391424,80178439906,57796,195461,84701,337958,,,,,,,,,,,
2018-03,EDGA Equities (J),932042760,581092722,571777766,2084913248,36153165923,38333329633,31641070981,1.06E+11,8271648,2730714,4851549,15853911,,,,,,,,,,,
2018-03,EDGX Equities (K),4453852722,2022896481,4255769383,10732518586,1.87E+11,1.23E+11,2.19E+11,5.29E+11,31746269,8235470,26014801,65996540,,,,,,,,,,,
